1301,AVDA MADRID 65 SEDAVI,0,activa
2047,AVDA MADRID 65 SEDAVI,0,activa
1621,AVDA CARDENAL BENLLOCH 58 PUERTA 9 VALENCIA,0,activa
1695,CALLE REY DON JAIME 6 PUERTA 7 ALFAFAR,0,activa
1972,CALLE BENITO PÉREZ GALDÓS 13 ALFAFAR PUERTA 2,0,activa
1788,CALLE VALENCIA 2 SEDAVI,0,activa
1648,CALLE GOYA 4 ALDAIA,0,activa
2038,CALLE JULIO COLOMER 46 ALFAFAR,0,activa
2090,CALLE JUAN PUERTES 5 PUERTA 3 ALFAFAR,0,activa
2259,AVDA CONCORDIA 3 ALDAIA,0,activa
2281,AVDA CONCORDIA 3 ALDAIA,0,activa
1777,CALLE ROSAS 14 PATERNA,0,activa
2062,CALLE 8 DE MARZO 12 ALACUAS,0,activa
2302,AVDA ALBUFERA 1 SEDAVI,0,activa
1569,CALLE CASTELLA 33 31 Y PADRE LEÓN 7 ALACUAS,0,activa
2296,CALLE CÁNOVAS DEL CASTILLO 4 MANISES,0,activa
1381,CALLE POETA MAS Y ROS 94 VALENCIA,0,activa
2254,AVDA GÓMEZ FERRER 13 ALFAFAR,0,activa
2377,CALLE POETA MIGUEL HERNÁNDEZ 1 PTA 5 SEDAVI,0,activa
1582,AVDA PAÍS VALENCIANO 10 ALACUAS,0,activa
2155,CALLE ALICANTE 2 ALDAIA,0,activa
2005,AV CONCORDIA 3 ALDAIA,0,activa
1375,CALLE DOCTOR FERRAND 59 ALFAFAR,0,activa
2217,CALLE TOMAS MARTINEZ MEDINA 14 ALACUAS,0,activa
1998,CALLE SAN ANTONIO 49 SEDAVI,0,activa
1645,AV RAMBLETA 2 CATARROJA,0,activa
1624,PLAZA JAUME I 15 SEDAVI,0,activa
1695,CALLE REY DON JAIME 6 PTA 7 SEDAVI,0,activa
1301,AV MADRID 65 SEDAVI,0,activa
2047,AV MADRID 65 SEDAVI,0,activa
1837,AV PAIS VALENCIANO 42 SEDAVI,0,activa
2121,CALLE PEP DE LHORTA 6 PTA 24 SEDAVI,0,activa
2301,CALLE ALMIRANTE CISCAR 1 BENETUSSER,0,activa
2324,AV MADRID 60 SEDAVI,0,activa
1909,CALLE SAN VICENTE 1 SEDAVI,0,activa

